sample_barcode,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32
TCGA-AJ-A3TW-01A-11R-A22K-07,11.612228,0.0,0.0,0.0,0.0,5.8181314,12.613132,0.0,2.365871,3.3894947,4.366384,0.0,0.886159,0.6712667,0.9575045,7.343272,0.0,0.0,8.116035,1.443249,3.8766508,5.9643493,4.8103924,0.0,7.2139535,0.0,0.0,0.0,4.8916287,0.0,0.0,0.0
TCGA-AX-A1CE-01A-11R-A137-07,1.5020468,0.0,0.0,0.0,2.789516,0.0,3.3778114,0.0,0.0,0.2322052,0.59240514,3.736875,0.0,0.83641243,3.7829454,0.0,0.0,3.6973777,1.9134792,5.933749,0.0,1.3679016,4.402505,0.30214623,10.009445,0.43258727,0.0,4.7689123,2.219842,0.0,1.6461885,5.1082616
TCGA-AX-A3G8-01A-11R-A22K-07,3.1707804,1.4692618,1.676728,1.246483,6.253237,12.740622,0.0,4.8542433,7.4699435,0.0,4.580898,0.0,0.0,0.9361584,6.362037,6.241008,0.0,7.134957,14.32554,0.0,0.0,0.0,0.0,0.0,13.756384,6.4500747,0.0,0.0,3.9816954,0.0,0.0,6.2879643
TCGA-BS-A0V4-01A-11R-A14D-07,0.0,2.6740007,0.0,0.0,7.1105866,5.758633,0.0,7.880884,0.0,0.0,0.4910181,5.220608,0.0,0.0,0.0,10.438221,0.0,7.6181617,5.96134,0.0,0.0,0.0,0.0,10.287994,4.2239785,10.712011,5.892799,0.0,2.203756,2.5656397,0.0,0.57968473
TCGA-BS-A0TA-01A-11R-A104-07,0.0,0.0,0.33578575,1.7857878,1.4001378,0.0,4.130225,0.74675983,0.0,0.9661051,5.331968,0.0,4.5953712,4.56056,0.0,7.3289356,0.0,0.0,0.0,3.4223175,0.79763323,2.9482427,0.0,4.1235995,0.074304014,0.0,0.0,5.1711016,0.06967939,5.131922,0.0,0.0
TCGA-QF-A5YT-01A-11R-A31O-07,0.49697614,0.14229569,8.866298,8.679578,0.0,2.879496,0.0,1.3253515,5.3892756,0.0,7.85467,0.791332,0.0,0.0,0.0,3.6262865,0.3862751,5.555914,5.6364202,0.0,1.2971634,0.0,0.0,2.4349399,4.926658,4.7147746,0.0,2.0422542,0.0,1.813271,8.614062,4.0788307
TCGA-EO-A3AS-01A-11R-A19W-07,5.174979,9.2097845,4.498496,0.71535283,0.0,7.8879485,0.0,4.99762,4.85751,8.214793,0.0,0.0,5.925365,8.202608,3.5305398,0.0,3.4966848,0.0,0.0,0.0,3.7347426,0.10931886,3.184511,0.0,2.3214402,0.0,0.0,0.0,0.0,1.045117,0.0,0.0
TCGA-AX-A1C4-01A-11R-A137-07,0.0,0.37619048,1.1860877,3.126561,1.9776736,0.41523898,3.7249146,0.0,0.68025744,0.0,0.20542312,8.235424,0.0,0.0,0.0,0.0,0.0,3.1742723,7.189806,3.2799952,0.0,4.3249607,0.0,0.0,0.0,16.361422,1.1932346,0.0,0.0,0.0,2.2039154,10.960343
TCGA-BG-A0W1-01A-12R-A109-07,0.8154996,5.253466,0.0,9.85415,4.5304227,0.0,0.0,7.1847763,0.0,5.000609,0.0,4.9890113,0.0,0.03766253,8.450989,0.0,2.2734067,4.8199744,0.0,11.762015,5.5308876,2.577993,0.0,0.27905256,0.40862012,2.5703702,2.3279903,8.857476,1.1187323,0.0,0.7795455,0.0
TCGA-A5-A0GH-01A-21R-A16W-07,0.0,0.0,9.814309,2.2362826,0.0,0.0,4.0663686,0.0,0.0,0.0,0.0,1.8924171,0.0,6.474661,2.5105379,0.0,0.12516932,0.0,3.183758,0.0,0.0,0.0,1.1047446,0.0,0.16301998,11.562997,1.3195996,0.6289616,1.9286325,0.0,0.0,5.6003366
TCGA-AP-A0LT-01A-11R-A040-07,0.0,6.4987173,0.0,0.70668167,4.1693196,2.814362,3.0513816,0.0,2.5955157,0.0,4.1428647,8.024136,0.0,0.0,1.52862,0.43255138,0.0,1.92344,5.129294,0.34083253,0.0,0.014024891,0.0,2.2439508,4.1262507,8.8735895,0.0,0.0,0.6140726,0.0,1.0837246,3.478356
TCGA-AP-A05O-01A-12R-A118-07,2.3542516,4.126431,0.0,10.0375,5.052743,0.0,2.6386142,0.0,0.8725896,1.1525098,8.217208,5.125014,0.6676911,1.3522471,0.0,3.8442008,0.14151382,0.0,1.2293112,5.391179,3.493544,0.0,0.0,0.0,0.6726763,3.2280953,0.0,6.1387167,0.42768568,0.29090524,1.9967961,0.0
TCGA-JU-AAVI-01A-11R-A40A-07,0.013812795,0.0,6.4205256,0.0,0.0,7.0440207,5.338691,1.4740517,4.7670364,2.646064,0.0,0.0,4.593767,3.580807,0.0,7.029728,0.0,0.0,0.44143787,0.0,2.8569283,4.627549,4.0486364,3.6170125,3.5001278,0.0,0.0,0.0,3.4301832,4.5668545,0.0,0.0
TCGA-AX-A3FZ-01A-11R-A22K-07,0.0,0.0,17.716394,0.0,0.0,0.0,7.930067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6760035,0.0,0.8960091,10.83126,4.0149736,0.0,13.022256,0.20236349,12.052869,0.045474693,0.0,3.8395772,0.0,0.0,0.0,0.032426096,10.736509,0.0
TCGA-BG-A0MO-01A-11R-A040-07,0.0,13.757172,0.0,4.3858385,5.539887,1.8882827,3.7106833,7.0178537,0.44657826,7.866166,6.695194,9.950185,0.0,0.0,1.664758,1.6981649,0.0,3.432567,0.0,8.35565,1.5818013,0.0,0.0,6.5692987,7.6689534,5.4590764,0.0,0.0,0.0,0.65682685,8.054471,0.0
TCGA-D1-A16I-01A-11R-A12I-07,6.990399,0.0,2.7519658,5.224705,4.1526384,0.6594495,5.8692284,0.0,3.6229496,7.1410904,0.0,5.8686256,0.0,0.0,0.0,0.0,3.654222,6.302864,0.0,0.0,0.0,0.0,6.2131023,0.0,0.0,0.0,7.0758114,0.0,14.295544,5.4735594,0.0,1.1145126
