gene,pvalue
STON1,0.00166556755971072
MTAP,0.00166556755971072
CTDSP2,0.00166556755971072
HS6ST1P1,0.001678695725551851
AC011912.1,0.0017075676722841367
TEKT4,0.0017191398546941813
RAB10,0.0017195397866420464
ANKRD27,0.0017195397866420464
DSTYK,0.0017195397866420464
RAPGEF5,0.0017195397866420464
AL136295.7,0.0017195397866420464
APOLD1,0.0017195397866420464
ANKRD54,0.0017195397866420464
SOX12,0.0017195397866420464
ISG20L2,0.0017195397866420464
KCNT2,0.0017582302819900795
LINC01480,0.0017747057128350814
RNPS1P1,0.0017747057128350814
AL031666.1,0.001775116287330221
PABPC1P4,0.001775116287330221
AC016957.2,0.001775116287330221
RNF24,0.001775116287330221
CCDC17,0.001775116287330221
CD96,0.001775116287330221
NOLC1,0.001775116287330221
ZNF460,0.001775116287330221
BAG4,0.001775116287330221
ICOS,0.0018034154406132423
ITGB1P1,0.0018150056195510589
PNLDC1,0.0018302330683684636
LINC02166,0.001832339751187122
ARHGEF5,0.001832339751187122
ECEL1,0.001832339751187122
CORO1A,0.001832339751187122
FAM189B,0.001832339751187122
BRINP1,0.0018424476472029918
TMSB15B,0.0018605153303136595
AL845472.1,0.0018675542515031493
MIR635,0.0018908212490612159
OVGP1,0.0018912538408647742
PRMT3,0.0018912538408647742
ATP5IF1,0.0018912538408647742
NLRC3,0.0018912538408647742
RPLP0P6,0.0018912538408647742
NOL9,0.0018912538408647742
PPIB,0.0018912538408647742
CDK6,0.0018912538408647742
GOLGA7,0.0018912538408647742
ATP6V1H,0.0019519032094484465
CLDN12,0.0019519032094484465
RPS6P25,0.0019519032094484465
PIP4P2,0.0019519032094484465
MUC15,0.0019643934865970435
AC020904.2,0.0020103490916882232
DYNLRB2,0.002012056095203202
STAC2,0.0020142196081863965
PTPN7,0.0020143335178067386
SASH1,0.0020143335178067386
LASP1,0.0020143335178067386
AC010654.1,0.0020143335178067386
GNG12,0.0020143335178067386
ENKD1,0.0020143335178067386
CDC16,0.0020143335178067386
SNAI3,0.0020143335178067386
NDUFA3,0.0020143335178067386
SRARP,0.002025834101836798
AC073439.1,0.0020450773686321974
CDYL,0.0020785914520956004
AL391834.2,0.0020785914520956004
PHF20,0.0020785914520956004
PROSER3,0.0020785914520956004
AAK1,0.0020785914520956004
GLMP,0.0020785914520956004
LIPH,0.0020785914520956004
GSAP,0.0020785914520956004
MEX3A,0.0020785914520956004
AC019069.1,0.0020785914520956004
SMARCD2,0.0020785914520956004
IPO9,0.0020785914520956004
NAA50,0.0020785914520956004
PJA1,0.0020785914520956004
RPL5P23,0.002143525675481392
PAIP2B,0.002144724741413128
CROCCP2,0.002144724741413128
TRMT12,0.002144724741413128
ECI1,0.002144724741413128
TMEM14A,0.002144724741413128
HOXB5,0.002144724741413128
MIEF1,0.002212782175601612
SLC9A7,0.002212782175601612
GIMAP1,0.002212782175601612
HOXD4,0.002212782175601612
NELFCD,0.002212782175601612
PBX1,0.002212782175601612
KLRG2,0.002247423374981671
DENND2C,0.002282813623193394
MIR200CHG,0.002282813623193394
EIF4A3,0.002282813623193394
TOMM34,0.002282813623193394
RNASEH1,0.002282813623193394
AC015922.2,0.002282813623193394
SH3BP5-AS1,0.002282813623193394
POLR1B,0.002282813623193394
LRRC37A6P,0.002354352250735565
GDPD2,0.002354358407224736
IFITM3P4,0.0023547405932018172
C16orf54,0.0023548700494966813
RNF145,0.0023548700494966813
LSP1,0.0023548700494966813
GPX4,0.0023548700494966813
WASH2P,0.0023548700494966813
RECQL,0.0023548700494966813
CERK,0.0023548700494966813
GGCX,0.0023548700494966813
CCNJL,0.0023548700494966813
GZMH,0.0023548700494966813
LCK,0.0023548700494966813
BNC2-AS1,0.002364869953646916
IGSF1,0.002380969559394872
LINGO2,0.002406152728199382
PLAC1,0.0024137257053822277
XCL2,0.002424359142059103
AC063952.2,0.0024263489249433806
LINC01909,0.002427676006149613
AL031123.1,0.0024284724696529837
RPL5P1,0.0024290035348173973
CNNM4,0.0024290035348173973
TRA2A,0.0024290035348173973
TESPA1,0.0024290035348173973
GNGT2,0.0024290035348173973
UBASH3A,0.0024290035348173973
CDC5L,0.0024290035348173973
CCR5,0.0024290035348173973
GTF3C4,0.0024290035348173973
NAPSB,0.0024290035348173973
VCL,0.0024290035348173973
XCL1,0.002466731300893244
GAPDHP21,0.002502544926631969
TRAF3IP3,0.002505267292812987
B3GNT5,0.002505267292812987
APOBEC3G,0.002505267292812987
SLC2A4,0.002505267292812987
CHMP2B,0.002505267292812987
RPS27AP11,0.002505267292812987
ANKRD28,0.002505267292812987
FOXP3,0.002505267292812987
DDX27,0.002505267292812987
BIN2,0.002583715688973802
FANCE,0.002583715688973802
CFAP65,0.002583715688973802
LANCL1,0.002583715688973802
ESR1,0.002583715688973802
Z93930.2,0.002583715688973802
TNFRSF10A,0.002583715688973802
AL139246.5,0.002583715688973802
AC007613.1,0.002583715688973802
AC013731.1,0.0026236350537017484
RCOR1,0.0026644042592275418
SSR4,0.0026644042592275418
RNMT,0.0026644042592275418
MARS2,0.0026644042592275418
BEX2,0.0026644042592275418
IL2RG,0.0026644042592275418
MBD5,0.0026644042592275418
PPAT,0.0026644042592275418
AL365357.1,0.0026644042592275418
MBOAT1,0.0026644042592275418
TGFBRAP1,0.0026644042592275418
CLEC2D,0.0026644042592275418
AC023510.2,0.0026892040238858193
AL357054.4,0.002704156957242466
